ENF Site ID,Sub Region,Region,Latitude,TL,ES POC
ES2-THL-03124,Jacobabad,Jacob Abad,28.23635   68.78099,Saif Ul Islam,Abdul Waheed
ES2-DAY-03398,Dera Allah Yar,Jacob Abad,28.36997   68.36275,Saif Ul Islam,Abdul Waheed
ES2-DAY-03483,Dera Allah Yar,Jacob Abad,28.4415   68.12685,Saif Ul Islam,Abdul Waheed
ES2-DAY-03484,Dera Allah Yar,Jacob Abad,28.5392   68.41491,Saif Ul Islam,Abdul Waheed
ES2-KSH-03811,Kandhkot,Jacob Abad,28.2556   69.2023,Saif Ul Islam,Abdul Waheed
ES2-SBP-04165,Dera Allah Yar,Jacob Abad,28.52148   68.5409,Saif Ul Islam,Abdul Waheed
EUS-GKI-04326,Kandhkot,Jacob Abad,28.15458   69.31546,Saif Ul Islam,Abdul Waheed
ES2-JMG-04568,Dera Allah Yar,Jacob Abad,28.312   67.80835,Saif Ul Islam,Abdul Waheed
ES2-DBT-04763,Sui,Jacob Abad,28.62371   69.20293,Saif Ul Islam,Abdul Waheed
ES2-JCA-04872,Kandhkot,Jacob Abad,28.20481   69.10326,Saif Ul Islam,Abdul Waheed
ES2-JCA-04873,Kandhkot,Jacob Abad,28.24783   69.11424,Saif Ul Islam,Abdul Waheed
ES2-JCA-04914,Jacobabad,Jacob Abad,28.37076   68.87376,Saif Ul Islam,Abdul Waheed
ES2-KSH-04983,Kandhkot,Jacob Abad,28.43199   69.58773,Saif Ul Islam,Abdul Waheed
ES2-KKO-05047,Sui,Jacob Abad,28.63587   69.20927,Saif Ul Islam,Abdul Waheed
ES2-KKO-05417,Kandhkot,Jacob Abad,28.18668   69.19845,Saif Ul Islam,Abdul Waheed
ES2-JCA-05515,Kandhkot,Jacob Abad,28.19107   69.13568,Saif Ul Islam,Abdul Waheed
ES2-JCA-05516,Kandhkot,Jacob Abad,28.30288   69.31674,Saif Ul Islam,Abdul Waheed
ES2-JCA-05517,Kandhkot,Jacob Abad,28.36583   69.21689,Saif Ul Islam,Abdul Waheed
ES2-JCA-05518,Kandhkot,Jacob Abad,28.31887   69.17407,Saif Ul Islam,Abdul Waheed
ES2-JCA-05519,Kandhkot,Jacob Abad,28.3824   69.16245,Saif Ul Islam,Abdul Waheed
ES2-JCA-05520,Jacobabad,Jacob Abad,28.06036   68.17123,Saif Ul Islam,Abdul Waheed
ES2-JCA-05522,Kandhkot,Jacob Abad,28.21536   69.13332,Saif Ul Islam,Abdul Waheed
ES2-JAF-05523,Dera Allah Yar,Jacob Abad,28.13469   67.82522,Saif Ul Islam,Abdul Waheed
ES2-JAF-05524,Dera Allah Yar,Jacob Abad,28.16786   68.00606,Saif Ul Islam,Abdul Waheed
ES2-NSD-05545,Dera Allah Yar,Jacob Abad,28.31833   67.98055,Saif Ul Islam,Abdul Waheed
ES2-SPR-05559,Jacobabad,Jacob Abad,28.0941   68.32223,Saif Ul Islam,Abdul Waheed
ES2-JCA-05566,Jacobabad,Jacob Abad,28.06268   68.26718,Saif Ul Islam,Abdul Waheed
ES2-JCA-05613,Jacobabad,Jacob Abad,28.24008   68.47124,Saif Ul Islam,Abdul Waheed
ES2-JCA-05614,Jacobabad,Jacob Abad,28.21405   68.36832,Saif Ul Islam,Abdul Waheed
ES2-JCA-05615,Jacobabad,Jacob Abad,28.28157   68.44548,Saif Ul Islam,Abdul Waheed
